Name,Race,Class,Faction,Gold,Location,Expansion
Bacola Closcius,Imperial,Publican,Thieves Guild ,500,Balmora,Base Game
Baissa,Khajiit,Trader Service,,100,Vivec,Base Game
Balen Andrano,Dark Elf,Trader Service,House Redoran ,600,Vivec,Base Game
Banor Seran,Dark Elf,Publican,Camonna Tong ,350,Balmora,Base Game
Baren Alen,Dark Elf,Noble,House Hlaalu ,0,Vivec,Base Game
Barusi Venim,Dark Elf,Enchanter Service,House Telvanni ,1200,Tel Aruhn,Base Game
Belos Falos,Dark Elf,Thief Service,Camonna Tong ,100,Vivec,Base Game
Benunius Agrudilius,Imperial,Publican,,300,Balmora,Base Game
Berela Andrano,Dark Elf,Savant Service,House Redoran ,150,Ghostgate,Base Game
Bervaso Thenim,Dark Elf,Apothecary Service,Tribunal Temple ,300,Molag Mar,Base Game
Bervyn Lleryn,Dark Elf,Trader Service,,250,Vivec,Base Game
Berwen,Wood Elf,Trader Service,,600,Tel Mora,Base Game
Bevene Releth,Dark Elf,Clothier,,200,Ald'ruhn,Base Game
Big Helende,High Elf,Thief Service,Thieves Guild ,100,Sadrith Mora,Base Game
Bildren Areleth,Dark Elf,Apothecary Service,,325,Tel Aruhn,Base Game
Bivale Teneran,Dark Elf,Clothier,,300,Ald'ruhn,Base Game
Boderi Farano,Dark Elf,Publican,,150,Ald'ruhn,Base Game
Bolnor Andrani,Dark Elf,Assassin Service,House Hlaalu ,200,Balmora,Base Game
Both gro-Durug,Orc,Pawnbroker,Thieves Guild ,300,Sadrith Mora,Base Game
Brarayni Sarys,Dark Elf,Alchemist Service,House Telvanni ,450,Tel Aruhn,Base Game
Brathus Dals,Dark Elf,Trader Service,,75,Vivec,Base Game
Burcanius Varo,Imperial,Publican,,300,Vos,Base Game
Chaplain Ogrul,Orc,Healer Service,Imperial Cult ,250,Gnisis,Base Game
Chirranirr,Khajiit,Thief Service,Thieves Guild ,0,Balmora,Base Game
Cienne Sintieve,Breton,Alchemist Service,,300,Ald'ruhn,Base Game
Clagius Clanler,Imperial,Trader Service,,800,Balmora,Base Game
Cocistian Quaspus,Imperial,Apothecary Service,Imperial Cult ,200,Buckmoth Legion Fort,Base Game
Codus Callonus,Imperial,Bookseller,,600,Ald'ruhn,Base Game
Craetia Jullalian,Imperial,Alchemist Service,Mages Guild ,400,Vivec,Base Game
Crazy-Legs Arantamo,Dark Elf,Savant Service,Thieves Guild ,300,Vivec,Base Game
Creeper,Scamp,,,5000,Caldera,Base Game
Crulius Pontanian,Imperial,Enchanter Service,Imperial Cult ,1300,Moonmoth Legion Fort,Base Game
Dabienne Mornardl,Breton,Enchanter Service,Mages Guild ,800,Wolverine Hall,Base Game
Dalam Gavyn,Dark Elf,Smith,Camonna Tong ,550,Hla Oad,Base Game
Dandera Selaro,Dark Elf,Smith,,750,Ald'ruhn,Base Game
Danoso Andrano,Dark Elf,Apothecary Service,Tribunal Temple ,300,Ald'ruhn,Base Game
Danso Indules,Dark Elf,Healer Service,Tribunal Temple ,300,Vivec,Base Game
Daynali Dren,Dark Elf,Alchemist Service,House Telvanni ,3999,Tel Mora,Base Game
Daynes Redothril,Dark Elf,Pawnbroker,,500,Ald'ruhn,Base Game
Dileno Lloran,Dark Elf,Priest Service,Tribunal Temple ,500,Vivec,Base Game
Dolyn Rols,Dark Elf,Trader Service,,75,Vivec,Base Game
Dorisa Darvel,Dark Elf,Bookseller,,700,Balmora,Base Game
Dralasa Nithryon,Dark Elf,Pawnbroker,,700,Balmora,Base Game
Dralval Andrano,Dark Elf,Apothecary Service,Tribunal Temple ,250,Balmora,Base Game
Drarayne Girith,Dark Elf,Trader,,350,Tel Aruhn,Base Game
Drelasa Ramothran,Dark Elf,Publican,,400,Pelagiad,Base Game
Dronos Llervu,Dark Elf,Smith,House Redoran ,1050,Ghostgate,Base Game
Dulian,Redguard,Priest Service,Imperial Legion ,200,Buckmoth Legion Fort,Base Game
Dulnea Ralaal,Dark Elf,Publican,,350,Balmora,Base Game
Dunel Saryon,Dark Elf,Trader Service,,75,Molag Mar,Base Game
Dunsalipal Dun-Ahhe,Dark Elf,Assassin Service,Morag Tong ,400,Sadrith Mora,Base Game
Eldrilu Dalen,Dark Elf,Priest Service,Tribunal Temple ,250,Vos,Base Game
Elegal,Wood Elf,Trader Service,,500,Sadrith Mora,Base Game
Elegnan,Wood Elf,Clothier,,300,Tel Mora,Base Game
Elo Arethan,Dark Elf,Savant Service,House Hlaalu ,0,Vivec,Base Game
Elynu Saren,Dark Elf,Priest Service,Tribunal Temple ,150,Suran,Base Game
Ergnir,Nord,Smith,Fighters Guild ,1800,Ald'ruhn,Base Game
Eris Telas,Dark Elf,Apothecary Service,Tribunal Temple ,300,Vivec,Base Game
Erla,Redguard,Smith,Imperial Legion ,650,Moonmoth Legion Fort,Base Game
Ernand Thierry,Breton,Alchemist Service,Mages Guild ,300,Caldera,Base Game
Ery,Redguard,Publican,,300,Sadrith Mora,Base Game
Fadase Selvayn,Dark Elf,Trader Service,,500,Tel Branora,Base Game
Falanaamo,High Elf,Clothier,,300,Caldera,Base Game
Falvel Arenim,Dark Elf,Savant Service,House Hlaalu ,250,Balmora,Base Game
Fanildil,High Elf,Healer Service,Imperial Legion ,500,Ebonheart,Base Game
Fara,Wood Elf,Publican,,600,Sadrith Mora,Base Game
Faras Thirano,Dark Elf,Enchanter Service,Tribunal Temple ,1400,Ghostgate,Base Game
Felara Andrethi,Dark Elf,Healer Service,House Telvanni ,300,Tel Aruhn,Base Game
Felayn Andral,Dark Elf,Enchanter Service,,1000,Holamayan Monastery,Base Game
Fenas Madach,Breton,Thief,Thieves Guild ,400,Gnisis,Base Game
Ferele Athram,Dark Elf,Trader Service,,400,Tel Aruhn,Base Game
Folms Mirel,Dark Elf,Enchanter Service,Mages Guild ,1050,Caldera,Base Game
Folvys Andalor,Dark Elf,Healer Service,Tribunal Temple ,300,Ald'ruhn,Base Game
Fonas Retheran,Dark Elf,Trader Service,House Redoran ,1300,Ghostgate,Base Game
Foves Arenim,Dark Elf,Assassin Service,House Hlaalu ,125,Caldera,Base Game
Frik,Nord,Apothecary Service,Imperial Cult ,300,Ebonheart,Base Game
Fryfnhild,Nord,Trader Service,,150,Dagon Fel,Base Game
Gadayn Andarys,Dark Elf,Trader Service,House Hlaalu ,400,Vivec,Base Game
Gadela Andus,Dark Elf,Trader Service,,50,Vivec,Base Game
Galar Rothan,Dark Elf,Enchanter Service,House Telvanni ,900,Sadrith Mora,Base Game
Galbedir,Wood Elf,Enchanter Service,Mages Guild ,900,Balmora,Base Game
Galen Berer,Dark Elf,Smith,,900,Tel Branora,Base Game
Galero Andaram,Dark Elf,Healer Service,Tribunal Temple ,700,Sadrith Mora,Base Game
Galore Salvi,Dark Elf,Publican,House Redoran ,650,Ghostgate,Base Game
Galtis Guvron,Dark Elf,Pawnbroker,,600,Ald'ruhn,Base Game
Galuro Belan,Dark Elf,Apothecary Service,House Telvanni ,200,Vivec,Base Game
Ganalyn Saram,Dark Elf,Alchemist Service,House Hlaalu ,350,Vivec,Base Game
Garas Seloth,Dark Elf,Alchemist Service,House Telvanni ,350,Vivec,Base Game
Garothmuk gro-Muzgub,Orc,Smith,,900,Suran,Base Game
Germia,Imperial,Agent,Berne Clan ,300,Galom Daeus,Base Game
Gilan Daynes,Dark Elf,Smith,Camonna Tong ,600,Vivec,Base Game
Gils Drelas,Dark Elf,Alchemist Service,House Telvanni ,600,Tel Branora,Base Game
Gilyan Sedas,Dark Elf,Assassin Service,Morag Tong ,350,Balmora,Base Game
Gilyne Omoren,Dark Elf,Smith,House Redoran ,950,Indarys Manor,Base Game
Gindas Ildram,Dark Elf,Trader Service,,70,Vivec,Base Game
Gladroon,High Elf,Smith,Aundae Clan ,1100,Ashmelech,Base Game
Goldyn Belaram,Dark Elf,Pawnbroker,,450,Suran,Base Game
Gomeso Sarano,Dark Elf,Trader Service,,75,Vivec,Base Game
Gorven Menas,Dark Elf,Alchemist Service,House Telvanni ,350,Tel Uvirith,Base Game
Guldrise Dralor,Dark Elf,Savant Service,Thieves Guild ,300,Dren Plantation,Base Game
Guls Llervu,Dark Elf,Priest Service,House Redoran ,150,Ald'ruhn,Base Game
Hakar the Candle,Nord,Smith,,1300,Molag Mar,Base Game
Hannabi Zabynatus,Dark Elf,Smith,,500,Gnisis,Base Game
Hecerinde,High Elf,Agent,Thieves Guild ,1000,Balmora,Base Game
Heifnir,Nord,Trader Service,,700,Dagon Fel,Base Game
Helviane Desele,Breton,Trader Service,,75,Suran,Base Game
Hetman Abelmawia,Dark Elf,Commoner,,100,Gnisis,Base Game
Hickim,Redguard,Assassin Service,Morag Tong ,150,Balmora,Base Game
Hinald,Redguard,Pawnbroker,Thieves Guild ,150,Gnaar Mok,Base Game
Hjotra the Peacock,Nord,Pawnbroker,,500,Dagon Fel,Base Game
Hlendrisa Seleth,Dark Elf,Enchanter Service,House Telvanni ,1700,Tel Uvirith,Base Game
Hlodala Savel,Dark Elf,Savant Service,House Hlaalu ,400,Rethan Manor,Base Game
Hodlismod,Nord,Smith,,1300,Caldera,Base Game
Hreirek the Lean,Nord,Thief Service,Thieves Guild ,150,Dagon Fel,Base Game
Hrundi,Nord,Smith,Fighters Guild ,1700,Wolverine Hall,Base Game
Huleeya,Argonian,Assassin Service,Morag Tong ,100,Vivec,Base Game
Ibarnadad Assirnarari,Dark Elf,Apothecary Service,,500,Suran,Base Game
Idonea Munia,Imperial,Healer Service,,100,Vivec,Base Game
Ilen Faveran,Dark Elf,Enchanter Service,Tribunal Temple ,750,Balmora,Base Game
Irgola,Redguard,Pawnbroker,,500,Caldera,Base Game
Irna Maryon,Dark Elf,Apothecary Service,House Telvanni ,300,Tel Aruhn,Base Game
Iulus Truptor,Imperial,Savant Service,Imperial Cult ,200,Ebonheart,Base Game
J'Rasha,Khajiit,Healer Service,,300,Vivec,Base Game
Janand Maulinie,Breton,Enchanter Service,Mages Guild ,650,Vivec,Base Game
Jeanne,Redguard,Trader Service,,300,Vivec,Base Game
Jobasha,Khajiit,Bookseller,,1000,Vivec,Base Game
Jolda,Redguard,Apothecary Service,,400,Tel Mora,Base Game
Kaye,Redguard,Trader Service,Imperial Cult ,500,Ebonheart,Base Game
Kjeld,Nord,Smith,Quarra Clan ,950,Druscashti,Base Game
Kurapli,Dark Elf,Trader Service,Ashlanders ,200,Urshilaku Camp,Base Game
Ladia Flarugrius,Imperial,Savant Service,Thieves Guild ,250,Pelagiad,Base Game
Lalatia Varian,Imperial,Priest Service,Imperial Cult ,500,Ebonheart,Base Game
Lanabi,Dark Elf,Trader Service,Ashlanders ,75,Ahemmusa Camp,Base Game
Landorume,High Elf,Trader Service,Imperial Legion ,350,Ebonheart,Base Game
Lassour Zenammu,Dark Elf,Assassin Service,Morag Tong ,250,Ald'ruhn,Base Game
Letreius Muco,Imperial,Healer Service,,300,Vivec,Base Game
Lirielle Stoine,Breton,Thief Service,Thieves Guild ,250,Ald'ruhn,Base Game
Llandris Thirandus,Dark Elf,Enchanter Service,Tribunal Temple ,900,Vivec,Base Game
Llarara Omayn,Dark Elf,Priest Service,Tribunal Temple ,150,Balmora,Base Game
Llathyno Hlaalu,Dark Elf,Priest Service,Tribunal Temple ,300,Balmora,Base Game
Llemisa Marys,Dark Elf,Thief Service,Camonna Tong ,150,Hla Oad,Base Game
Llether Vari,Dark Elf,Enchanter Service,,2000,Ald'ruhn,Base Game
Llevas Fels,Dark Elf,Savant Service,Camonna Tong ,250,Sadrith Mora,Base Game
Lliros Tures,Dark Elf,Trader Service,House Redoran ,1300,Indarys Manor,Base Game
Lliryn Fendyn,Dark Elf,Thief Service,House Hlaalu ,100,Rethan Manor,Base Game
Llorayna Sethan,Dark Elf,Publican,,300,Tel Branora,Base Game
Lloros Sarano,Dark Elf,Priest Service,House Redoran ,300,Ald'ruhn,Base Game
Lorbumol gro-Aglakh,Orc,Smith,Fighters Guild ,4000,Vivec,Base Game
Lucretinaus Olcinius,Imperial,Trader Service,,600,Vivec,Base Game
Madrale Thirith,Dark Elf,Thief Service,Camonna Tong ,85,Balmora,Base Game
Malpenix Blonia,Imperial,Trader Service,House Redoran ,899,Ald'ruhn,Base Game
Mamaea,Dark Elf,Healer Service,Ashlanders ,75,Ahemmusa Camp,Base Game
Manara Othan,Dark Elf,Publican,House Telvanni ,350,Vivec,Base Game
Mandur Omalen,Dark Elf,Trader Service,,350,Molag Mar,Base Game
Manicky,Redguard,Smith,House Telvanni ,1000,Sadrith Mora,Base Game
Manirai,Dark Elf,Wise Woman Service,Ashlanders ,75,Erabenimsun Camp,Base Game
Manse Andus,Dark Elf,Publican,,300,Maar Gan,Base Game
Marasa Aren,Dark Elf,Pawnbroker,Camonna Tong ,250,Balmora,Base Game
Maren Uvaren,Dark Elf,Enchanter Service,,750,Tel Aruhn,Base Game
Massarapal,Dark Elf,Trader Service,Ashlanders ,150,Erabenimsun Camp,Base Game
Mebestian Ence,Breton,Trader Service,,449,Pelagiad,Base Game
Meder Nulen,Dark Elf,Pawnbroker,Camonna Tong ,400,Sadrith Mora,Base Game
Mehra Drora,Dark Elf,Priest Service,Tribunal Temple ,300,Gnisis,Base Game
Meldor,Wood Elf,Smith,,1500,Balmora,Base Game
Melie Frenck,Breton,Healer Service,Tribunal Temple ,100,Vivec,Base Game
Methal Seran,Dark Elf,Priest Service,Tribunal Temple ,350,Ald'ruhn,Base Game
Mevel Fererus,Dark Elf,Trader Service,,400,Vivec,Base Game
Mevure Hlen,Dark Elf,Clothier,,400,Vivec,Base Game
Milar Maryon,Dark Elf,Healer Service,House Telvanni ,499,Tel Vos,Base Game
Milie Hastien,Breton,Clothier,,1200,Balmora,Base Game
Minasi Bavani,Dark Elf,Thief Service,Camonna Tong ,150,Sadrith Mora,Base Game
Miraso Seran,Dark Elf,Enchanter Service,Tribunal Temple ,800,Sadrith Mora,Base Game
Miun-Gei,Argonian,Enchanter Service,,1500,Vivec,Base Game
Mivanu Retheran,Dark Elf,Savant Service,House Redoran ,250,Ald'ruhn,Base Game
Moroni Uvelas,Dark Elf,Trader Service,,60,Vivec,Base Game
Mororurg,High Elf,Alchemist,Aundae Clan ,250,Ashmelech,Base Game
Mudcrab (merchant),Mudcrab,,,10000,Azura's Coast Region,Base Game
Mug gro-Dulob,Orc,Smith,Imperial Legion ,700,Gnisis,Base Game
Muriel Sette,Breton,Thief Service,Thieves Guild ,50,Sadrith Mora,Base Game
Nalcarya of White Haven,High Elf,Alchemist Service,,3000,Balmora,Base Game
Nalis Gals,Dark Elf,Trader Service,,200,Vivec,Base Game
Nalvilie Saren,Dark Elf,Clothier,,150,Vivec,Base Game
Naspis Apinia,Imperial,Trader Service,Imperial Cult ,400,Moonmoth Legion Fort,Base Game
Nebia Amphia,Imperial,Priest Service,Imperial Legion ,300,Ebonheart,Base Game
Nibani Maesa,Dark Elf,Wise Woman Service,Ashlanders ,150,Urshilaku Camp,Base Game
Nileno Dorvayn,Dark Elf,Thief Service,House Hlaalu ,200,Balmora,Base Game
Nilvyn Drothan,Dark Elf,Priest Service,Tribunal Temple ,150,Ghostgate,Base Game
Niras Farys,Dark Elf,Priest Service,Tribunal Temple ,0,Sadrith Mora,Base Game
Nivos Drivam,Dark Elf,Trader Service,,350,Vivec,Base Game
Only-He-Stands-There,Argonian,Healer Service,,500,Balmora,Base Game
Orero Omothan,Dark Elf,Smith,House Redoran ,500,Ald Velothi,Base Game
Orns Omaren,Dark Elf,Trader Service,,50,Molag Mar,Base Game
Peragon,Wood Elf,Apothecary Service,Imperial Cult ,300,Moonmoth Legion Fort,Base Game
Perien Aurelie,Breton,Pawnbroker,,150,Hla Oad,Base Game
Phane Rielle,Breton,Savant Service,Thieves Guild ,150,Balmora,Base Game
Pierlette Rostorard,Breton,Apothecary Service,House Telvanni ,400,Sadrith Mora,Base Game
Ra'Virr,Khajiit,Trader Service,,600,Balmora,Base Game
Radras,Wood Elf,Smith,,750,Tel Mora,Base Game
Ralds Oril,Dark Elf,Trader Service,,400,Suran,Base Game
Ralen Tilvur,Dark Elf,Smith,House Hlaalu ,400,Vivec,Base Game
Ranosa Gilvayn,Dark Elf,Spellsword,,700,Suran,Base Game
Raril Giral,Dark Elf,Publican,,250,Vivec,Base Game
Rarvela Teran,Dark Elf,Pawnbroker,Camonna Tong ,150,Vivec,Base Game
Rathal Barus,Dark Elf,Trader Service,,100,Vivec,Base Game
Raviso Andalas,Dark Elf,Savant Service,,150,Molag Mar,Base Game
Ravoso Aryon,Dark Elf,Pawnbroker,House Hlaalu ,400,Suran,Base Game
Relms Gilvilo,Dark Elf,Priest Service,House Redoran ,300,Vivec,Base Game
Rilvase Avani,Dark Elf,Healer Service,Tribunal Temple ,350,Ghostgate,Base Game
Rirnas Athren,Dark Elf,Priest Service,Tribunal Temple ,150,Vivec,Base Game
Rissinia,Redguard,Savant Service,Thieves Guild ,200,Sadrith Mora,Base Game
Rogdul gro-Bularz,Orc,Assassin Service,Morag Tong ,400,Vivec,Base Game
Rolasa Oren,Dark Elf,Alchemist Service,,150,Vivec,Base Game
Saetring,Nord,Smith,,1200,Molag Mar,Base Game
Salen Ravel,Dark Elf,Priest Service,Tribunal Temple ,200,Maar Gan,Base Game
Saras Orelu,Dark Elf,Healer Service,,200,Molag Mar,Base Game
Sauleius Cullian,Imperial,Enchanter Service,Imperial Cult ,750,Ebonheart,Base Game
Savard,Nord,Smith,House Redoran ,1000,Vivec,Base Game
Scelian Plebo,Imperial,Healer Service,Imperial Cult ,250,Wolverine Hall,Base Game
Sedam Omalen,Dark Elf,Trader Service,House Redoran ,400,Ald Velothi,Base Game
Sedris Omalen,Dark Elf,Priest Service,House Redoran ,200,Maar Gan,Base Game
Segunivus Mantedius,Imperial,Savant Service,Imperial Cult ,300,Buckmoth Legion Fort,Base Game
Selkirnemus,Dark Elf,Trader Service,,50,Molag Mar,Base Game
Selvura Andrano,Dark Elf,Pawnbroker,Camonna Tong ,150,Gnaar Mok,Base Game
Serjo Avon Oran,Dark Elf,Thief Service,House Hlaalu ,150,Suran,Base Game
Sernsi Drelas,Dark Elf,Pawnbroker,House Hlaalu ,150,Rethan Manor,Base Game
Sevyni Saryon,Dark Elf,Savant Service,,300,Vivec,Base Game
Shadbak gra-Burbug,Orc,Smith,Imperial Legion ,900,Pelagiad,Base Game
Sharn gra-Muzgob,Orc,Healer Service,Mages Guild ,200,Balmora,Base Game
Shenk,Redguard,Publican,,400,Caldera,Base Game
Shulki Ashunbabi,Dark Elf,Trader Service,,400,Gnisis,Base Game
Simine Fralinie,Breton,Bookseller,,299,Vivec,Base Game
Sinnammu Mirpal,Dark Elf,Wise Woman Service,Ashlanders ,75,Ahemmusa Camp,Base Game
Sirollus Saccus,Imperial,Smith,Imperial Legion ,3500,Ebonheart,Base Game
Skink-in-Tree's-Shade,Argonian,Sorcerer,Mages Guild ,700,Wolverine Hall,Base Game
Sodrara Andalas,Dark Elf,Savant Service,Camonna Tong ,199,Gnaar Mok,Base Game
Somutis Vunnis,Imperial,Priest Service,Imperial Cult ,150,Moonmoth Legion Fort,Base Game
Sonummu Zabamat,Dark Elf,Wise Woman Service,Ashlanders ,200,Zainab Camp,Base Game
Sorosi Radobar,Dark Elf,Publican,,500,Vivec,Base Game
Sottilde,Nord,Pawnbroker,Thieves Guild ,250,Balmora,Base Game
Sovali Uvayn,Dark Elf,Thief Service,House Hlaalu ,150,Vivec,Base Game
Sovor Trandel,Dark Elf,Savant Service,Camonna Tong ,200,Balmora,Base Game
Sugar-Lips Habasi,Khajiit,Thief Service,Thieves Guild ,300,Balmora,Base Game
Syloria Siruliulus,Imperial,Trader Service,Imperial Cult ,325,Buckmoth Legion Fort,Base Game
Synnolian Tunifus,Imperial,Healer Service,Imperial Cult ,500,Ebonheart,Base Game
Tanar Llervi,Dark Elf,Enchanter Service,Mages Guild ,800,Ald'ruhn,Base Game
Tarhiel,Wood Elf,Enchanter,,0,Bitter Coast Region,Base Game
Tarvyn Faren,Dark Elf,Trader,House Hlaalu ,250,Vivec,Base Game
Telis Salvani,Dark Elf,Healer Service,Tribunal Temple ,150,Balmora,Base Game
Telvon Llethan,Dark Elf,Smith,House Hlaalu ,800,Vivec,Base Game
Tendris Vedran,Dark Elf,Apothecary Service,Tribunal Temple ,400,Sadrith Mora,Base Game
Teril Savani,Dark Elf,Apothecary Service,Tribunal Temple ,200,Ghostgate,Base Game
Tervur Braven,Dark Elf,Trader Service,,400,Vivec,Base Game
Thaeril,Wood Elf,Publican,,250,Tel Mora,Base Game
Thanelen Velas,Dark Elf,Smith,Camonna Tong ,500,Balmora,Base Game
Thongar,Nord,Trader Service,,1200,Khuul,Base Game
Thorek,Nord,Smith,,1000,Balmora,Base Game
Threvul Serethi,Dark Elf,Healer Service,House Telvanni ,300,Sadrith Mora,Base Game
Tiras Sadus,Dark Elf,Trader Service,,799,Ald'ruhn,Base Game
Tivam Sadri,Dark Elf,Priest Service,,500,Holamayan Monastery,Base Game
Tongue-Toad,Argonian,Savant Service,Thieves Guild ,75,Ald'ruhn,Base Game
Traldrisa Tervayn,Dark Elf,Savant Service,Camonna Tong ,150,Vivec,Base Game
Trasteve,Redguard,Trader Service,,250,Hla Oad,Base Game
Trivura Arenim,Dark Elf,Trader Service,House Redoran ,75,Ald Velothi,Base Game
Tunila Omavel,Dark Elf,Healer Service,House Telvanni ,499,Tel Uvirith,Base Game
Tusamircil,High Elf,Alchemist Service,Mages Guild ,400,Wolverine Hall,Base Game
Tussi,Dark Elf,Healer Service,Ashlanders ,75,Zainab Camp,Base Game
Tuveso Beleth,Dark Elf,Smith,House Redoran ,2200,Ald'ruhn,Base Game
Tyermaillin,High Elf,Healer Service,Blades ,150,Balmora,Base Game
Ulmiso Maloren,Dark Elf,Healer Service,Tribunal Temple ,200,Ghostgate,Base Game
Ulumpha gra-Sharob,Orc,Healer Service,Imperial Legion ,300,Gnisis,Base Game
Ureso Drath,Dark Elf,Enchanter Service,Tribunal Temple ,775,Ald'ruhn,Base Game
Urfing,Nord,Trader Service,Imperial Legion ,400,Moonmoth Legion Fort,Base Game
Uulernil,High Elf,Smith,,700,Pelagiad,Base Game
Uvele Berendas,Dark Elf,Priest Service,House Redoran ,400,Indarys Manor,Base Game
Vasesius Viciulus,Imperial,Trader Service,,1000,Molag Mar,Base Game
Vaval Selas,Dark Elf,Healer Service,,150,Vivec,Base Game
Vedran Balen,Dark Elf,Assassin Service,House Hlaalu ,200,Vivec,Base Game
Verara Rendo,Dark Elf,Clothier,,300,Suran,Base Game
Verick Gemain,Breton,Trader Service,,1100,Caldera,Base Game
Wayn,Redguard,Smith,Fighters Guild ,2000,Balmora,Base Game
Yambagorn gor-Shulor,Orc,Smith,Imperial Legion ,700,Buckmoth Legion Fort,Base Game
Ygfa,Nord,Healer Service,Imperial Cult ,175,Pelagiad,Base Game
Zanmulk Sammalamus,Dark Elf,Healer Service,Tribunal Temple ,150,Gnisis,Base Game
Zebba Benamamat,Dark Elf,Clothier,,250,Gnisis,Base Game
Belwen,Wood Elf,Clothier,,5000,Mournhold,Tribunal
Bols Indalen,Dark Elf,Smith,,8000,Mournhold,Tribunal
Catia Sosia,Imperial,Smith,,10000,Mournhold,Tribunal
Crito Olcinius,Imperial,Priest Service,Imperial Cult,1000,Mournhold,Tribunal
Daron,Redguard,Smith,,2000,Mournhold,Tribunal
Elbert Nermarc,Breton,Enchanter Service,,6000,Mournhold,Tribunal
Fonari Indaren,Dark Elf,Apothecary Service,,800,Mournhold,Tribunal
Galsa Andrano,Dark Elf,Healer Service,Tribunal Temple,1000,Mournhold,Tribunal
Hession,High Elf,Publican,,0,Mournhold,Tribunal
Laurina Maria,Imperial,Healer Service,,1200,Mournhold,Tribunal
Mehra Helas,Dark Elf,Healer Service,Tribunal Temple,300,Mournhold,Tribunal
Nerile Andaren,Dark Elf,Healer Service,Tribunal Temple,600,Mournhold,Tribunal
Ra'Tesh,Khajiit,Trader Service,,800,Mournhold,Tribunal
Roner Arano,Dark Elf,Pawnbroker,,800,Mournhold,Tribunal
Sanaso Sarothran,Dark Elf,Bookseller,,5000,Mournhold,Tribunal
Sunel Hlas,Dark Elf,Trader Service,,8000,Mournhold,Tribunal
'Ten-Tongues' Weerhat,Argonian,Pawnbroker,,1000,Mournhold,Tribunal
Ungeleb,Wood Elf,Alchemist Service,,9000,Mournhold,Tribunal
Alcedonia Amnis,Imperial,Publican,East Empire Company,1000,Raven Rock,Bloodmoon
Bereditte Jastal,Breton,Bookseller,,250,Thirsk,Bloodmoon
Bronrod the Roarer,Nord,Healer Service,Skaal,500,Raven Rock,Bloodmoon
Brynjolfr,Nord,Smith,,600,Thirsk,Bloodmoon
Mirisa,Redguard,Monk,Imperial Cult,300,Fort Frostmoth,Bloodmoon
Sabrina Vitellia,Imperial,Smith,,10000,Raven Rock,Bloodmoon
Sathyn Andrano,Dunmer,Trader,East Empire Company,10000,Raven Rock,Bloodmoon
Snedbrir the Smith,Nord,Smith,Skaal,2500,Skaal Village,Bloodmoon
Ulfrun,Nord,Barbarian,,300,Thirsk,Bloodmoon
